Model,Model ID,Endpoint,AI SDK Package
Grok 4.5,grok-4.5,https://opencode.ai/zen/go/v1/responses,@ai-sdk/openai
GPT 5.6 Luna,gpt-5.6-luna,https://opencode.ai/zen/go/v1/responses,@ai-sdk/openai
GLM-5.3,glm-5.3,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
GLM-5.2,glm-5.2,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
GLM-5.1,glm-5.1,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
Kimi K3,kimi-k3,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
Kimi K2.7 Code,kimi-k2.7-code,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
Kimi K2.6,kimi-k2.6,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
DeepSeek V4 Pro,deepseek-v4-pro,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
DeepSeek V4 Flash,deepseek-v4-flash,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
MiMo-V2.5,mimo-v2.5,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
MiMo-V2.5-Pro,mimo-v2.5-pro,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
MiniMax M3,minimax-m3,https://opencode.ai/zen/go/v1/messages,@ai-sdk/anthropic
MiniMax M2.7,minimax-m2.7,https://opencode.ai/zen/go/v1/messages,@ai-sdk/anthropic
MiniMax M2.5,minimax-m2.5,https://opencode.ai/zen/go/v1/messages,@ai-sdk/anthropic
Qwen3.8 Max,qwen3.8-max,https://opencode.ai/zen/go/v1/messages,@ai-sdk/anthropic
Qwen3.7 Max,qwen3.7-max,https://opencode.ai/zen/go/v1/messages,@ai-sdk/anthropic
Qwen3.7 Plus,qwen3.7-plus,https://opencode.ai/zen/go/v1/messages,@ai-sdk/anthropic
Qwen3.6 Plus,qwen3.6-plus,https://opencode.ai/zen/go/v1/messages,@ai-sdk/anthropic
Hy3,hy3,https://opencode.ai/zen/go/v1/chat/completions,@ai-sdk/openai-compatible
